arc_id;user_id;polarity;subjectivity;lang;TextBlob;lat;long
5674;859945602;-0.775;0.95;en;"i think i am falling for a friend

not again

i hate having a crush :(";48.2289222;16.3886134
5674;859945602;-0.775;0.95;en;"i think i am falling for a friend

not again

i hate having a crush :(";48.2289222;16.3886134
102;351156603;-0.7625;0.75;en;where does formula and louie find these inhumane individuals what the fuck!!;48.233848;16.337438
102;351156603;-0.7625;0.75;en;where does formula and louie find these inhumane individuals what the fuck!!;48.233848;16.337438
192;375733673;-0.75;1.0;tr;naziiifff baba lmesin :(((;48.17651954;16.3811159
269;1319196858;-0.75;1.0;en;@claretraz its stopping me from going to shebeens :(;48.24526376;16.36041186
349;636851233;-0.75;1.0;tr;@gecinizz @capulcuminanon faist ve polisi anladnsa sorun yok..:((;48.24431745;16.33980305
384;761227711;-0.75;1.0;;@rmzngs10 hitee yaaaa :d sadece cevap verdi diye sevindim ne var yani :(  @sahraswag;48.16579862;16.314451
402;1009875722;-0.75;1.0;tr;lyomm :(;48.1598497;16.4232265
506;191385151;-0.75;1.0;;@paaranoyaa :(;48.2582164;16.45187079
681;324282534;-0.75;1.0;en;body awake ...... mind still sleeping :( i just dnt want this;48.19980741;16.39404844
999;384195398;-0.75;1.0;;@meettheturk 1ekim samanyolunu ve alexdesouza yi kaybettiimiz gndr :(;48.15309327;16.47233255
1037;1292438828;-0.75;1.0;tr;@bb_betul canini yedigum, uyku gelmiyor yarin is var :(;48.1578256;16.4707613
1073;1695969000;-0.75;1.0;de;wie scheie sind eigentlich die msata ssds ich find fr die nirgends einen adapter :(;48.19273746;16.33941466
1357;2210666898;-0.75;0.95;en;the worst thing of all is #standing by when folks are doing #something wrong. kirby larson;48.202541;16.368799
1385;845879665;-0.75;1.0;tr;@gglkal ben geliyorum yetmez mi :(;48.19067331;16.32475305
1447;235168764;-0.75;1.0;;@bsrayolalan dacminnnn iyi yolculuklar :(;48.20265335;16.32690639
1552;40241473;-0.75;1.0;;chis application developer java - ibm: ( #wien , aut)  #opensource #job #jobs #tweetmyjobs;48.2301165;16.4605685
1757;40217286;-0.75;1.0;en;technologieberater (m/w) sap fi/co und scm - accenture: (#wien)  #it #job #jobs #tweetmyjobs;48.208174;16.373819
1831;178837796;-0.75;1.0;tr;her sabah gs ile ilgili yeni bir kaos duymaktan biktim :(;48.186555;16.420385
1888;2348675761;-0.75;1.0;tr;@feyzacandan1  feyzo bugn bana yazmad.... :( :( :,(;48.175171;16.379657
1955;40232085;-0.75;1.0;de;junior-business analyst (m/w) fr geschfts- und... - accenture asg (austria, switzerl...: (#wien)  #it #job;48.208174;16.373819
1970;82451031;-0.75;1.0;en;ohhh summer where are you??? :( #summer #rain #sky #raining #city #clouds #traffic #sun #vienna #wien ;48.152111;16.320908
2043;257518186;-0.75;1.0;tr;kac gndr canim feci halde etli ekmek istiyor. allahin viyanasinda ben nerden buluyum konyadaki gibisini :((;48.21312261;16.33645749
2159;1726675519;-0.75;1.0;tr;uyumakkkkkkk istiyorummmmm:((;48.1747796;16.3200437
2181;1292438828;-0.75;1.0;tr;niye kalkayim ki havada kt zaten :(;48.15790931;16.47101645
2232;407101387;-0.75;1.0;;@eplworld:              ().;48.20240001;16.36973108
2263;910067484;-0.75;1.0;tl;tolgahan hadi bunuda favla :-( hahhahaha;48.1508783;16.3313171
2287;518723471;-0.75;1.0;;@missyaysun @mry1903 yazik bana tabiiii :(;48.18700159;16.3285409
2339;636429570;-0.75;1.0;et;maldita gastritis :(;48.185397;16.30842
2568;761227711;-0.75;1.0;;@ozer_aydn yalan haberdir abi :(;48.1731219;16.3272549
2625;297625481;-0.75;1.0;;ve yine seminer .. :-((( uyumak istiyorumm;48.21142258;16.38527755
2945;317658464;-0.75;1.0;;alyorum :( sen uyursan herkez lr demilerdi, atam bu #vatan bu #millet uyuduu iin herkmgn yrz :((( #senkalkbenyatam atam;48.1851117;16.32244853
2969;636429570;-0.75;1.0;es;muero de hambre y estos escuincles estn comiendo pizzaaaa :(;48.2669;16.326317
3015;816918619;-0.75;1.0;en;ummm yummy. oh god calories :(( ;48.1998933;16.3772575
3064;359442936;-0.75;1.0;en;@arianagrande please do it tomorrow! and not while i am sleeping :(;48.238614;16.3881132
3157;295736792;-0.75;1.0;;@livananjourney aku br bs brngkt besoknya hiks hiks hiks.... :(;48.1933386;16.3669745
3210;212075596;-0.75;1.0;es;@girlcurlyhaired me armar de paciencia. jsjsksks quiero dinero. :( le dar clases a niitas de primaria. jajajaja;48.2087588;16.372478
